Edad,Sexo,Talla,Latitud,Notas,Horas_Estudio,Fecha_Matricula,Acceso_Internet,Trabaja,Comentarios_Tutor,Horas_Sueno
27,F,1.88,-10.52567,9.7,25,2023-05-26,0,0,Excelente participacion,7
26,F,1.81,-5.39918,12.3,33,2023-04-25,1,1,Excelente participacion,5
20,M,1.81,-0.77966,2.9,37,2023-06-30,1,0,Falta de tiempo,6
23,F,1.53,-15.04545,8.7,13,2023-01-29,1,1,Excelente participacion,5
21,F,1.59,-15.7008,1.5,30,2023-10-20,1,0,Dificultad con matematicas,8
23,F,1.88,-9.49775,0.8,19,2023-01-16,0,1,Ausencias frecuentes,8
17,F,1.7,-0.57422,17.3,9,2023-01-03,0,1,Falta de tiempo,8
18,M,1.66,-0.51517,13.2,19,2023-09-01,1,1,Problemas familiares,9
21,M,1.84,-13.89753,15.6,32,2023-10-06,1,1,Excelente participacion,8
27,F,1.53,-12.25175,3.6,1,2023-11-08,1,1,Excelente participacion,8
28,F,1.67,-1.65542,6.4,11,2023-09-25,1,0,Falta de tiempo,4
25,F,1.65,-4.77285,8.9,15,2023-02-02,1,1,Dificultad con matematicas,9
18,M,1.64,-0.4983,13.2,8,2023-02-10,0,1,Problemas familiares,5
21,M,1.62,-1.92333,10.7,10,2023-02-18,0,1,Problemas familiares,6
21,F,1.58,-14.12827,11.0,20,2023-04-22,1,0,Excelente participacion,7
17,F,1.57,-4.32492,3.1,11,2023-11-02,1,1,Falta de tiempo,5
22,F,1.76,-17.12583,9.5,3,2023-10-09,1,0,Ausencias frecuentes,4
27,F,1.87,-3.27901,16.5,25,2023-07-21,1,0,Excelente participacion,5
17,M,1.7,-7.17198,10.2,18,2023-10-27,1,1,Ausencias frecuentes,7
21,M,1.62,-0.79018,4.0,16,2023-07-16,1,0,Alta motivacion,7
16,M,1.56,-0.71942,8.3,0,2023-04-25,0,1,Excelente participacion,9
18,M,1.83,-17.08533,15.1,7,2023-05-31,1,1,Alta motivacion,5
17,M,1.89,-15.11061,2.7,29,2023-05-19,1,1,Alta motivacion,6
22,M,1.64,-9.28427,11.6,23,2023-11-24,1,1,Falta de tiempo,6
29,F,1.62,-2.16912,19.3,16,2023-08-13,1,0,Ausencias frecuentes,9
19,F,1.74,-3.33999,7.6,29,2023-03-04,1,0,Alta motivacion,9
23,M,1.81,-0.64134,0.9,8,2023-05-14,1,1,Problemas familiares,7
21,M,1.68,-6.87449,12.7,1,2023-06-22,1,1,Problemas familiares,7
27,M,1.75,-13.38186,0.9,25,2023-09-28,1,1,Ausencias frecuentes,5
25,F,1.79,-17.54808,3.8,31,2023-11-19,1,0,Dificultad con matematicas,8
19,F,1.88,-13.98732,1.0,26,2023-05-21,1,1,Falta de tiempo,7
20,F,1.57,-5.84508,3.4,10,2023-09-30,1,1,Alta motivacion,5
28,F,1.9,-1.32705,17.1,0,2023-03-31,1,0,Excelente participacion,4
28,M,1.66,-12.22373,14.7,36,2023-04-23,1,1,Falta de tiempo,4
24,F,1.79,-2.23732,6.8,17,2023-07-22,1,1,Alta motivacion,6
22,M,1.73,-10.89183,17.9,7,2023-12-30,0,0,Alta motivacion,6
25,F,1.69,-12.45112,13.3,26,2023-04-09,0,1,Problemas familiares,7
29,F,1.78,-8.8408,9.0,17,2023-03-11,1,1,Falta de tiempo,5
29,F,1.66,-10.03908,1.4,8,2023-12-25,1,1,Ausencias frecuentes,4
24,F,1.55,-1.5516,14.6,1,2023-06-29,0,1,Alta motivacion,5
22,M,1.7,-9.57137,7.5,16,2023-12-14,0,1,Dificultad con matematicas,4
27,M,1.71,-13.00796,6.1,10,2023-10-14,1,1,Falta de tiempo,7
16,M,1.58,-2.83382,5.8,5,2023-01-19,0,0,Falta de tiempo,5
27,M,1.87,-0.02251,0.2,4,2023-09-26,1,1,Ausencias frecuentes,6
23,M,1.59,-6.33291,14.9,11,2023-01-04,1,1,Alta motivacion,9
19,M,1.66,-13.4917,2.9,34,2023-01-06,0,1,Falta de tiempo,5
18,M,1.56,-13.70133,10.4,23,2023-12-29,0,1,Problemas familiares,6
29,F,1.71,-16.96128,0.3,29,2023-09-08,1,0,Problemas familiares,4
28,M,1.62,-16.60873,12.6,16,2023-07-21,1,0,Excelente participacion,5
22,F,1.7,-1.5303,7.4,35,2023-12-28,1,1,Problemas familiares,6
27,M,1.59,-16.26323,12.6,5,2023-09-04,1,1,Excelente participacion,5
18,F,1.52,-9.28181,1.8,31,2023-07-02,1,1,Excelente participacion,7
23,M,1.81,-5.43381,5.3,33,2023-03-10,1,0,Alta motivacion,6
21,F,1.76,-2.69361,2.2,15,2023-07-02,1,0,Excelente participacion,8
20,M,1.64,-14.91712,12.9,6,2023-06-21,1,1,Alta motivacion,4
19,M,1.52,-10.11998,2.2,31,2023-07-03,1,1,Excelente participacion,5
23,M,1.85,-13.47336,12.3,16,2023-12-17,1,0,Dificultad con matematicas,5
23,M,1.57,-13.39518,2.7,31,2023-05-08,0,1,Excelente participacion,4
27,F,1.87,-12.53089,18.9,13,2023-03-02,1,1,Ausencias frecuentes,9
16,M,1.69,-7.43191,8.3,25,2023-08-15,1,1,Falta de tiempo,6
24,M,1.64,-17.70161,2.5,8,2023-12-17,1,0,Alta motivacion,4
29,F,1.8,-10.64221,0.8,12,2023-05-01,0,1,Problemas familiares,9
20,M,1.85,-14.63706,6.6,24,2023-04-16,1,1,Dificultad con matematicas,5
19,F,1.65,-0.59187,17.8,11,2023-01-30,1,0,Dificultad con matematicas,8
21,F,1.66,-7.51088,2.9,15,2023-07-03,0,1,Problemas familiares,5
21,M,1.67,-2.37428,15.8,29,2023-09-25,1,1,Excelente participacion,7
17,M,1.87,-14.47758,8.3,20,2023-10-21,1,1,Excelente participacion,6
23,F,1.78,-3.41972,16.1,23,2023-05-28,1,0,Alta motivacion,9
22,M,1.6,-10.53392,17.5,4,2023-09-30,1,1,Problemas familiares,8
16,F,1.57,-14.8015,20.0,32,2023-08-25,1,1,Dificultad con matematicas,4
20,M,1.59,-4.29759,1.4,30,2023-01-08,0,1,Alta motivacion,6
27,M,1.61,-4.2838,15.9,8,2023-05-07,1,1,Excelente participacion,5
21,F,1.59,-0.07402,1.4,34,2023-05-28,1,1,Problemas familiares,8
19,M,1.76,-3.94313,6.3,7,2023-02-01,1,1,Alta motivacion,4
17,M,1.55,-15.38519,12.9,10,2023-08-20,1,0,Excelente participacion,4
28,M,1.65,-12.19419,8.9,16,2023-02-13,1,1,Falta de tiempo,9
29,F,1.75,-9.86892,11.3,15,2023-03-15,1,0,Ausencias frecuentes,5
19,M,1.62,-15.72025,19.3,19,2023-07-24,0,1,Alta motivacion,9
16,F,1.53,-3.8153,16.4,26,2023-08-23,0,1,Excelente participacion,4
22,M,1.53,-8.51943,7.3,13,2023-05-20,1,1,Excelente participacion,7
17,F,1.55,-0.99991,12.0,21,2023-07-05,1,0,Ausencias frecuentes,7
28,M,1.83,-7.39245,1.0,6,2023-03-14,1,1,Dificultad con matematicas,8
17,M,1.76,-8.58782,9.1,10,2023-11-19,1,1,Falta de tiempo,6
24,F,1.53,-16.71435,12.2,16,2023-10-22,1,1,Alta motivacion,7
20,M,1.66,-15.31177,14.3,12,2023-04-30,0,0,Problemas familiares,9
17,F,1.61,-2.70853,18.0,16,2023-05-07,1,0,Alta motivacion,6
26,M,1.73,-0.16783,5.7,10,2023-04-12,1,1,Dificultad con matematicas,8
24,F,1.71,-10.52678,18.0,3,2023-08-18,1,1,Problemas familiares,4
24,M,1.69,-3.41845,13.2,15,2023-08-04,1,0,Dificultad con matematicas,7
16,F,1.63,-6.70346,1.6,30,2023-04-01,1,1,Problemas familiares,7
26,M,1.56,-0.73693,7.6,20,2023-12-29,0,1,Problemas familiares,5
18,F,1.8,-13.71353,9.5,32,2023-05-18,1,1,Ausencias frecuentes,8
19,F,1.85,-8.19296,7.0,12,2023-12-28,1,1,Ausencias frecuentes,6
29,M,1.88,-10.64168,2.3,28,2023-05-26,1,1,Ausencias frecuentes,6
22,F,1.52,-8.24911,11.0,14,2023-12-23,1,1,Dificultad con matematicas,7
25,F,1.8,-13.16055,2.6,9,2023-12-30,1,1,Dificultad con matematicas,5
19,M,1.79,-9.04057,18.3,32,2023-06-24,1,1,Ausencias frecuentes,5
17,M,1.88,-6.75353,17.3,14,2023-02-20,1,1,Alta motivacion,7
22,M,1.6,-16.53811,9.5,12,2023-10-22,1,1,Dificultad con matematicas,5
21,M,1.8,-4.62623,1.4,34,2023-11-17,1,0,Ausencias frecuentes,9
18,M,1.52,-5.28259,11.0,20,2023-02-05,0,1,Ausencias frecuentes,9
21,M,1.75,-2.15176,11.8,29,2023-07-16,0,1,Excelente participacion,6
26,F,1.64,-10.33458,17.8,6,2023-07-23,0,0,Falta de tiempo,4
21,F,1.81,-16.88996,1.4,23,2023-07-27,1,1,Dificultad con matematicas,8
27,F,1.85,-9.6937,13.8,15,2023-05-13,1,1,Ausencias frecuentes,4
20,M,1.65,-15.52303,11.3,4,2023-07-27,1,0,Alta motivacion,7
19,M,1.71,-6.34596,3.5,5,2023-05-11,1,1,Problemas familiares,4
25,F,1.55,-17.15163,2.4,1,2023-02-20,1,0,Dificultad con matematicas,8
27,F,1.67,-11.26806,13.9,2,2023-09-30,1,1,Dificultad con matematicas,9
16,M,1.64,-16.50883,6.8,9,2023-09-24,1,1,Falta de tiempo,6
25,F,1.57,-17.9394,20.0,23,2023-02-15,1,1,Ausencias frecuentes,8
21,M,1.86,-0.70997,17.9,32,2023-03-04,1,0,Problemas familiares,5
17,M,1.56,-0.06971,11.3,19,2023-07-23,1,1,Problemas familiares,9
28,F,1.75,-8.00095,12.8,21,2023-10-24,1,1,Falta de tiempo,7
18,M,1.86,-13.69879,3.2,31,2023-05-10,1,1,Problemas familiares,8
29,M,1.86,-1.60022,17.9,29,2023-01-27,1,1,Excelente participacion,5
23,M,1.82,-1.38534,9.2,2,2023-10-11,1,0,Alta motivacion,9
25,M,1.57,-2.61884,10.4,3,2023-12-16,1,1,Ausencias frecuentes,5
29,F,1.83,-8.20134,17.5,3,2023-03-02,0,1,Excelente participacion,5
29,M,1.61,-16.65536,0.1,38,2023-05-06,0,1,Excelente participacion,8
21,M,1.87,-16.4081,9.9,30,2023-07-21,1,1,Dificultad con matematicas,4
18,F,1.78,-1.86084,12.5,8,2023-02-04,0,1,Ausencias frecuentes,8
22,M,1.81,-2.23512,3.2,29,2023-10-02,1,1,Dificultad con matematicas,5
19,M,1.53,-10.18085,1.4,28,2023-11-11,1,1,Dificultad con matematicas,4
29,F,1.73,-12.09322,10.7,24,2023-11-05,1,1,Excelente participacion,7
24,F,1.83,-6.40577,11.0,38,2023-07-29,1,0,Ausencias frecuentes,5
20,M,1.84,-3.47422,6.6,34,2023-03-08,1,0,Problemas familiares,6
18,M,1.51,-4.82967,17.6,24,2023-05-26,0,1,Excelente participacion,8
17,F,1.88,-6.91915,6.0,36,2023-03-26,1,1,Ausencias frecuentes,5
26,M,1.52,-13.8328,10.3,35,2023-10-18,1,0,Ausencias frecuentes,7
17,M,1.75,-13.27491,3.7,10,2023-12-26,1,1,Alta motivacion,8
18,M,1.78,-4.96679,0.2,25,2023-06-27,1,1,Dificultad con matematicas,5
17,F,1.54,-3.55284,8.5,24,2023-06-17,1,1,Falta de tiempo,7
29,M,1.52,-15.90957,10.5,20,2023-12-25,1,1,Alta motivacion,4
19,F,1.81,-14.62865,15.3,1,2023-02-26,1,0,Alta motivacion,5
17,F,1.65,-5.75154,9.0,9,2023-10-25,1,1,Dificultad con matematicas,5
25,F,1.54,-10.99824,5.6,38,2023-04-15,1,1,Falta de tiempo,9
24,F,1.81,-7.86073,12.1,34,2023-10-18,1,1,Dificultad con matematicas,4
17,M,1.84,-6.93333,7.6,32,2023-07-20,1,0,Dificultad con matematicas,4
24,F,1.73,-4.02834,4.7,30,2023-12-02,0,1,Falta de tiempo,4
28,M,1.56,-3.49709,18.2,3,2023-03-24,1,1,Falta de tiempo,4
21,F,1.51,-12.95827,10.7,2,2023-03-08,0,1,Excelente participacion,9
16,F,1.78,-8.25666,4.0,4,2023-04-04,1,1,Alta motivacion,8
19,M,1.72,-15.77657,13.4,16,2023-06-01,1,0,Excelente participacion,9
29,F,1.76,-2.84373,16.1,12,2023-09-14,0,0,Dificultad con matematicas,9
16,F,1.83,-2.78194,15.2,0,2023-06-27,1,1,Problemas familiares,9
29,M,1.67,-12.6089,12.0,38,2023-03-15,1,1,Excelente participacion,4
21,F,1.55,-15.10884,10.4,22,2023-12-17,1,1,Falta de tiempo,4
29,F,1.88,-16.73835,15.5,24,2023-05-06,1,1,Problemas familiares,6
28,F,1.72,-7.65042,14.2,30,2023-02-24,1,1,Problemas familiares,9
19,M,1.75,-16.35429,11.4,12,2023-07-03,1,1,Excelente participacion,7
18,F,1.87,-5.74929,13.2,0,2023-04-14,1,1,Dificultad con matematicas,7
18,M,1.87,-5.79372,3.4,33,2023-05-30,1,1,Ausencias frecuentes,8
24,M,1.73,-6.94823,0.4,28,2023-12-09,1,1,Problemas familiares,9
21,M,1.62,-2.22191,18.6,30,2023-10-05,1,1,Alta motivacion,8
24,F,1.9,-11.19095,18.7,7,2023-12-29,1,1,Excelente participacion,6
28,F,1.77,-1.75915,15.8,1,2023-10-09,0,0,Falta de tiempo,9
20,F,1.66,-17.33534,7.4,11,2023-07-28,1,1,Alta motivacion,4
17,F,1.72,-15.97037,3.0,32,2023-05-08,1,1,Falta de tiempo,4
23,M,1.67,-10.5803,7.1,29,2023-03-19,1,1,Dificultad con matematicas,6
20,M,1.86,-7.30813,14.5,26,2023-05-08,0,0,Falta de tiempo,4
17,F,1.69,-17.41724,6.7,24,2023-08-16,1,0,Ausencias frecuentes,5
19,F,1.83,-7.78618,15.9,37,2023-12-01,1,1,Falta de tiempo,7
24,M,1.84,-12.46683,13.5,32,2023-09-16,1,1,Dificultad con matematicas,5
19,F,1.83,-2.03136,12.6,37,2023-11-25,1,0,Problemas familiares,6
28,F,1.79,-8.40088,18.6,15,2023-01-10,1,0,Dificultad con matematicas,8
27,F,1.84,-7.41791,17.9,31,2023-11-21,1,1,Problemas familiares,6
27,F,1.65,-0.97881,14.2,23,2023-05-10,0,1,Alta motivacion,7
27,F,1.55,-4.24492,4.0,1,2023-08-06,1,1,Dificultad con matematicas,6
28,F,1.84,-10.11108,18.8,1,2023-11-22,1,1,Excelente participacion,5
29,M,1.7,-9.41617,4.5,19,2023-08-25,0,1,Alta motivacion,4
19,M,1.55,-6.33737,7.5,26,2023-05-14,0,0,Falta de tiempo,5
17,M,1.55,-14.39641,16.5,21,2023-11-21,1,0,Alta motivacion,7
28,M,1.56,-16.40428,4.2,38,2023-12-14,0,0,Excelente participacion,8
27,F,1.8,-12.39774,12.8,18,2023-03-24,1,0,Falta de tiempo,6
21,F,1.78,-3.98911,9.2,6,2023-10-07,1,0,Problemas familiares,7
28,M,1.58,-13.36817,12.5,2,2023-06-14,0,1,Dificultad con matematicas,6
26,M,1.84,-15.64633,19.2,33,2023-08-06,1,1,Alta motivacion,7
29,M,1.61,-14.05759,16.2,22,2023-07-26,1,1,Excelente participacion,6
17,M,1.82,-5.77849,5.9,4,2023-05-24,1,0,Excelente participacion,5
27,M,1.7,-6.94893,1.1,2,2023-04-05,0,1,Excelente participacion,4
22,F,1.79,-5.61033,19.3,23,2023-04-26,0,1,Dificultad con matematicas,5
18,F,1.65,-12.20475,11.7,26,2023-10-12,1,1,Alta motivacion,5
18,M,1.64,-1.78459,3.5,33,2023-08-31,1,1,Ausencias frecuentes,6
20,M,1.84,-9.86813,12.5,20,2023-02-24,1,1,Falta de tiempo,8
18,F,1.51,-8.75317,0.8,11,2023-11-07,1,1,Falta de tiempo,7
17,F,1.89,-0.92146,3.8,31,2023-07-04,1,1,Excelente participacion,5
25,F,1.76,-0.37301,12.7,21,2023-01-19,1,1,Falta de tiempo,8
24,M,1.67,-6.09223,8.0,33,2023-05-14,1,1,Ausencias frecuentes,5
17,F,1.75,-0.99336,6.5,22,2023-06-27,1,1,Alta motivacion,5
29,M,1.55,-8.25287,13.1,0,2023-02-04,1,1,Falta de tiempo,5
26,M,1.71,-12.46891,17.3,3,2023-04-28,1,0,Dificultad con matematicas,9
17,F,1.89,-12.32833,13.6,16,2023-09-12,0,1,Dificultad con matematicas,9
28,F,1.59,-7.93907,9.3,25,2023-08-29,1,1,Dificultad con matematicas,8
23,F,1.79,-7.10935,13.2,30,2023-02-25,1,0,Falta de tiempo,5
24,M,1.67,-10.08689,13.9,38,2023-10-19,0,1,Ausencias frecuentes,9
22,F,1.76,-2.09211,15.5,36,2023-01-15,1,1,Alta motivacion,8
18,F,1.58,-10.31947,6.1,39,2023-10-20,0,0,Dificultad con matematicas,5
24,M,1.69,-13.07837,2.3,32,2023-07-01,1,1,Excelente participacion,5
18,F,1.89,-17.85633,13.6,27,2023-04-17,1,1,Ausencias frecuentes,4
20,F,1.58,-0.52975,2.4,9,2023-07-28,1,0,Ausencias frecuentes,4
24,M,1.75,-3.16236,9.2,35,2023-05-05,1,0,Excelente participacion,9
27,M,1.73,-6.91993,4.6,8,2023-01-08,1,0,Ausencias frecuentes,6
29,M,1.73,-3.05024,6.6,25,2023-01-13,0,1,Excelente participacion,5
29,M,1.75,-3.41479,9.4,33,2023-11-21,1,0,Falta de tiempo,4
18,M,1.7,-1.22669,17.9,13,2023-06-28,0,0,Excelente participacion,8
22,F,1.51,-11.05078,13.6,25,2023-06-01,1,0,Falta de tiempo,8
27,F,1.86,-8.01266,3.4,36,2023-03-24,1,1,Dificultad con matematicas,4
16,M,1.83,-16.2247,17.6,30,2023-03-08,1,1,Alta motivacion,4
19,F,1.57,-0.62432,10.0,37,2023-01-08,1,0,Problemas familiares,6
19,F,1.67,-0.26771,4.1,27,2023-01-26,1,1,Dificultad con matematicas,6
22,M,1.81,-3.79648,10.5,39,2023-02-15,1,1,Problemas familiares,4
23,M,1.89,-9.82582,3.8,16,2023-08-11,1,1,Falta de tiempo,5
16,M,1.88,-9.0618,7.3,11,2023-08-09,0,1,Dificultad con matematicas,6
20,F,1.86,-10.1634,16.1,26,2023-12-17,1,0,Problemas familiares,8
22,M,1.56,-12.72041,13.2,0,2023-03-24,1,0,Ausencias frecuentes,9
27,F,1.87,-8.49975,9.6,39,2023-06-24,1,1,Excelente participacion,5
19,F,1.85,-17.03799,4.5,32,2023-05-28,1,1,Falta de tiempo,7
28,F,1.65,-0.14603,5.6,12,2023-02-14,1,0,Excelente participacion,4
19,F,1.66,-10.3671,19.6,4,2023-06-22,1,0,Excelente participacion,5
19,M,1.68,-1.3074,6.9,36,2023-01-11,0,1,Ausencias frecuentes,6
27,F,1.76,-4.96311,12.3,39,2023-01-01,1,1,Problemas familiares,7
21,M,1.6,-12.78103,10.0,27,2023-05-17,0,0,Dificultad con matematicas,5
22,F,1.51,-14.00305,0.5,23,2023-07-29,1,0,Alta motivacion,6
17,M,1.56,-0.07784,18.9,19,2023-09-14,1,1,Problemas familiares,7
20,M,1.68,-4.10173,1.8,39,2023-02-24,1,0,Problemas familiares,7
19,M,1.61,-13.50609,13.2,36,2023-01-24,0,0,Falta de tiempo,8
29,F,1.81,-16.78599,16.2,19,2023-08-17,0,1,Alta motivacion,7
28,F,1.54,-5.4555,15.0,22,2023-04-30,1,1,Problemas familiares,7
18,F,1.87,-12.5457,16.2,2,2023-10-13,1,1,Problemas familiares,5
22,M,1.86,-14.01605,14.8,4,2023-07-30,1,1,Problemas familiares,5
26,F,1.86,-4.77113,8.9,14,2023-06-16,0,0,Falta de tiempo,9
27,F,1.8,-5.7733,17.9,4,2023-02-09,1,1,Ausencias frecuentes,7
21,F,1.54,-9.33457,18.2,33,2023-11-11,1,1,Problemas familiares,4
29,M,1.68,-1.03219,8.7,38,2023-08-28,1,0,Falta de tiempo,6
22,F,1.55,-5.76651,9.7,38,2023-11-05,1,1,Problemas familiares,4
20,F,1.9,-1.91845,9.7,22,2023-03-26,1,1,Falta de tiempo,8
28,M,1.63,-14.57005,5.6,16,2023-10-06,1,1,Falta de tiempo,4
21,M,1.73,-12.66037,2.3,8,2023-08-30,1,1,Ausencias frecuentes,7
20,M,1.81,-16.11864,5.2,3,2023-09-16,1,0,Problemas familiares,8
29,M,1.87,-12.51756,16.9,29,2023-07-20,1,1,Alta motivacion,4
22,M,1.8,-0.50799,10.9,13,2023-05-22,0,1,Problemas familiares,7
17,M,1.77,-0.66859,17.0,29,2023-01-31,1,1,Alta motivacion,7
29,F,1.69,-4.31305,14.9,30,2023-09-04,1,0,Falta de tiempo,5
26,F,1.74,-8.62113,7.0,0,2023-01-06,1,0,Falta de tiempo,5
20,M,1.54,-3.94596,3.7,26,2023-07-02,1,1,Excelente participacion,8
21,F,1.85,-8.03723,11.3,1,2023-08-24,1,1,Dificultad con matematicas,6
21,M,1.72,-17.93685,18.7,39,2023-04-28,1,1,Falta de tiempo,7
20,F,1.52,-8.97215,16.8,9,2023-10-01,1,1,Ausencias frecuentes,7
25,M,1.87,-7.21938,15.3,23,2023-12-10,1,0,Problemas familiares,7
22,M,1.7,-13.21653,15.3,19,2023-05-02,1,1,Falta de tiempo,9
25,F,1.85,-14.34072,10.6,15,2023-11-22,1,1,Alta motivacion,8
23,F,1.84,-13.07144,3.4,37,2023-08-27,1,1,Excelente participacion,9
22,F,1.83,-6.7747,5.7,17,2023-02-03,1,1,Excelente participacion,4
20,F,1.52,-15.37085,11.6,34,2023-07-19,1,0,Dificultad con matematicas,9
16,F,1.6,-5.03409,6.3,29,2023-05-25,1,0,Dificultad con matematicas,9
28,F,1.85,-10.39185,15.6,36,2023-10-14,1,1,Problemas familiares,4
20,F,1.86,-11.63974,7.5,4,2023-04-04,1,1,Excelente participacion,7
25,F,1.68,-3.46984,2.3,36,2023-08-10,1,1,Excelente participacion,6
17,M,1.68,-8.89086,15.7,10,2023-09-15,1,1,Dificultad con matematicas,6
28,F,1.57,-11.18879,14.0,3,2023-06-06,1,1,Ausencias frecuentes,9
20,F,1.89,-2.19322,5.1,36,2023-05-24,1,1,Dificultad con matematicas,5
20,M,1.59,-11.37147,19.6,10,2023-11-21,0,1,Problemas familiares,4
17,M,1.58,-2.53799,8.1,11,2023-07-17,1,1,Alta motivacion,7
20,M,1.76,-8.92442,13.6,27,2023-03-23,1,1,Ausencias frecuentes,6
28,M,1.6,-14.25587,18.2,25,2023-03-18,1,1,Ausencias frecuentes,4
19,F,1.88,-6.96927,3.1,33,2023-09-21,1,1,Problemas familiares,5
16,F,1.5,-12.86418,17.6,0,2023-10-16,1,1,Alta motivacion,7
18,M,1.5,-15.35121,14.1,5,2023-11-27,1,0,Excelente participacion,8
16,M,1.7,-16.44247,3.4,32,2023-05-15,1,1,Dificultad con matematicas,9
27,F,1.7,-13.64945,13.3,23,2023-01-25,0,1,Alta motivacion,9
26,F,1.57,-4.74202,17.5,33,2023-11-12,1,1,Excelente participacion,9
20,F,1.7,-2.91601,16.0,7,2023-07-14,0,1,Dificultad con matematicas,7
19,F,1.66,-2.48902,15.2,15,2023-12-28,1,0,Ausencias frecuentes,9
22,M,1.86,-13.13733,3.2,15,2023-07-12,1,1,Alta motivacion,7
20,F,1.5,-6.10249,3.8,15,2023-04-13,1,0,Falta de tiempo,4
25,M,1.89,-13.85363,11.0,33,2023-02-28,1,1,Dificultad con matematicas,4
29,M,1.75,-6.79028,11.6,19,2023-09-02,1,0,Alta motivacion,9
19,M,1.56,-2.0302,18.9,13,2023-01-11,1,1,Excelente participacion,4
17,F,1.52,-17.26391,9.4,25,2023-10-29,1,1,Dificultad con matematicas,6
19,M,1.72,-0.26594,6.1,1,2023-04-02,0,1,Alta motivacion,5
27,F,1.59,-3.11242,3.8,18,2023-03-12,1,1,Dificultad con matematicas,4
17,M,1.62,-4.29008,1.1,1,2023-03-19,1,0,Falta de tiempo,5
23,F,1.6,-5.55547,1.4,25,2023-12-07,1,0,Dificultad con matematicas,4
18,M,1.76,-4.13507,11.5,24,2023-09-19,1,0,Ausencias frecuentes,6
24,M,1.72,-0.09728,3.5,18,2023-05-15,0,0,Ausencias frecuentes,5
28,F,1.53,-4.13656,17.0,16,2023-11-12,1,1,Problemas familiares,6
19,F,1.71,-11.67119,11.9,29,2023-06-08,0,1,Dificultad con matematicas,8
28,M,1.82,-6.94941,17.3,11,2023-04-24,1,1,Falta de tiempo,8
21,M,1.53,-11.93539,8.5,20,2023-08-07,1,1,Excelente participacion,6
25,F,1.86,-0.53882,11.9,35,2023-01-23,0,1,Problemas familiares,5
20,M,1.73,-1.79748,10.5,39,2023-06-18,1,1,Alta motivacion,9
25,F,1.88,-7.78284,19.7,27,2023-12-12,1,1,Alta motivacion,8
28,F,1.56,-3.93707,15.9,32,2023-02-05,0,0,Falta de tiempo,7
16,M,1.9,-1.62564,11.9,8,2023-07-04,1,1,Falta de tiempo,8
24,F,1.76,-13.6152,12.1,17,2023-02-04,1,1,Problemas familiares,5
16,M,1.73,-7.56933,5.0,23,2023-02-19,0,0,Alta motivacion,5
23,F,1.71,-9.32911,14.7,31,2023-11-05,1,1,Excelente participacion,5
24,F,1.51,-4.11136,19.7,22,2023-09-03,1,0,Ausencias frecuentes,4
24,M,1.88,-11.17651,2.6,11,2023-07-31,1,1,Excelente participacion,9
16,F,1.76,-5.23837,12.7,33,2023-06-19,1,0,Problemas familiares,7
17,M,1.54,-10.74612,10.4,25,2023-05-29,1,1,Alta motivacion,4
27,F,1.51,-16.00065,17.0,5,2023-06-07,1,0,Falta de tiempo,9
28,F,1.52,-16.07181,0.0,4,2023-09-10,1,1,Dificultad con matematicas,8
16,F,1.74,-15.85699,2.7,22,2023-03-04,1,1,Alta motivacion,9
25,F,1.75,-17.41464,0.7,14,2023-02-07,1,1,Falta de tiempo,8
17,M,1.7,-8.40648,3.3,31,2023-02-11,1,1,Ausencias frecuentes,4
25,F,1.62,-5.90575,14.2,12,2023-04-04,1,1,Falta de tiempo,5
27,F,1.71,-15.71889,2.8,27,2023-01-26,1,1,Alta motivacion,8
23,F,1.71,-6.98656,12.4,32,2023-09-19,0,0,Alta motivacion,6
20,M,1.51,-7.24068,17.4,7,2023-04-03,1,0,Problemas familiares,9
27,M,1.61,-15.35231,0.7,15,2023-05-14,0,1,Excelente participacion,8
26,M,1.52,-10.72651,0.5,38,2023-07-31,1,0,Problemas familiares,7
22,M,1.86,-4.40756,19.8,31,2023-06-27,1,0,Dificultad con matematicas,8
17,F,1.79,-17.69839,13.5,15,2023-01-27,1,0,Problemas familiares,5
23,F,1.9,-15.35494,2.8,12,2023-08-10,0,0,Excelente participacion,6
26,F,1.62,-0.07509,6.1,19,2023-03-21,1,1,Dificultad con matematicas,4
21,M,1.85,-4.79619,19.7,18,2023-07-26,0,1,Alta motivacion,9
23,M,1.74,-9.64565,4.5,10,2023-12-07,1,0,Excelente participacion,5
16,F,1.68,-6.66357,15.1,26,2023-04-14,0,1,Excelente participacion,7
16,F,1.59,-2.76802,4.8,15,2023-05-09,1,1,Alta motivacion,6
27,F,1.8,-2.83852,8.0,8,2023-06-03,1,0,Dificultad con matematicas,8
22,M,1.86,-12.15537,17.6,12,2023-04-26,1,0,Dificultad con matematicas,4
23,F,1.59,-9.15675,0.6,18,2023-08-16,1,1,Ausencias frecuentes,7
28,F,1.57,-6.51501,6.1,29,2023-04-28,1,1,Alta motivacion,6
18,M,1.78,-16.70586,9.7,38,2023-03-22,1,1,Excelente participacion,6
20,M,1.89,-0.97566,12.5,16,2023-11-12,1,1,Alta motivacion,5
27,F,1.8,-10.21065,0.6,29,2023-09-28,1,1,Falta de tiempo,5
16,M,1.61,-11.32448,8.2,28,2023-08-27,1,1,Dificultad con matematicas,9
22,F,1.67,-1.67219,6.9,1,2023-05-30,1,1,Problemas familiares,5
